Time,Surge,Sway,Yaw
-8,31.29042053,74.93998718,-659.059021
-7.9,31.29021072,74.93951416,-659.0545044
-7.8,31.28757668,74.93341827,-658.9976196
-7.7,31.27935219,74.91410828,-658.819458
-7.6,31.26269531,74.87464142,-658.4569092
-7.5,31.23516083,74.80930328,-657.8538208
-7.4,31.1946907,74.71379089,-656.9606934
-7.3,31.13952637,74.58496857,-655.7340698
-7.2,31.06807518,74.42025757,-654.1349487
-7.1,30.97884369,74.21705627,-652.1277466
-7,30.87042618,73.97261047,-649.6804199
-6.9,30.741539,73.68408203,-646.7645264
-6.8,30.59099197,73.34860229,-643.3554077
-6.7,30.41758537,72.96278381,-639.4309082
-6.6,30.2199707,72.52190399,-634.9694214
-6.5,29.99664688,72.01946259,-629.9492798
-6.4,29.7462101,71.44801331,-624.3494873
-6.3,29.46782875,70.80130768,-618.1546021
-6.2,29.16166306,70.07704926,-611.3601074
-6.1,28.82888985,69.27809143,-603.9749756
-6,28.47109222,68.41078949,-596.0189209
-5.9,28.08917999,67.4803009,-587.5118408
-5.8,27.68244934,66.48514557,-578.4611206
-5.7,27.24853325,65.41469574,-568.8526611
-5.6,26.78470802,64.25251007,-558.6550293
-5.5,26.29028893,62.98556137,-547.8382568
-5.4,25.76900101,61.61569214,-536.4033813
-5.3,25.2298584,60.16688156,-524.4083862
-5.2,24.68546867,58.68283081,-511.9757996
-5.1,24.14785957,57.2134819,-499.2705688
-5,23.62329865,55.79487991,-486.4520264
-4.9,23.10850143,54.43133545,-473.6154175
-4.8,22.59036064,53.08901596,-460.7493286
-4.7,22.04995537,51.70556641,-447.7305908
-4.6,21.46960068,50.21297073,-434.3650208
-4.5,20.84011269,48.56422806,-420.4610901
-4.4,20.16511726,46.7521553,-405.9073486
-4.3,19.46045494,44.81218338,-390.7214355
-4.2,18.74890518,42.8084259,-375.0492554
-4.1,18.05264282,40.81016922,-359.1154175
-4,17.38682175,38.86995697,-343.149231
-3.9,16.75705338,37.01294708,-327.3197937
-3.8,16.16157722,35.24087524,-311.7098694
-3.7,15.59661961,33.54655838,-296.3374634
-3.6,15.06190777,31.92963028,-281.210144
-3.5,14.56334305,30.40438461,-266.3814392
-3.4,14.11132145,28.99520302,-251.9761658
-3.3,13.71543789,27.72200203,-238.1685181
-3.2,13.37819767,26.5838089,-225.1192627
-3.1,13.09108734,25.55018616,-212.9009247
-3,12.83547688,24.56702423,-201.4495544
-2.9,12.5887928,23.57660675,-190.5731506
-2.8,12.33393955,22.5445137,-180.0244141
-2.7,12.06809139,21.48135376,-169.6153259
-2.6,11.80665302,20.44757652,-159.3267212
-2.5,11.57962132,19.53554916,-149.3590393
-2.4,11.42059422,18.83293343,-140.0869141
-2.3,11.35217667,18.38143349,-131.91922
-2.2,11.37406445,18.15055275,-125.1130142
-2.1,11.46018124,18.04321861,-119.6257935
-2,11.56830597,17.93819809,-115.0917206
-1.9,11.66025257,17.7568531,-110.9664307
-1.8,11.72502899,17.52634048,-106.8093109
-1.7,11.79422665,17.40637779,-102.5935211
-1.6,11.94038105,17.65725899,-98.89308929
-1.5,12.2555027,18.55102348,-96.8237915
-1.4,12.81602383,20.25592804,-97.71160889
-1.3,13.64801502,22.74298477,-102.5927277
-1.2,14.70851421,25.76094246,-111.7506409
-1.1,15.89334011,28.90038681,-124.5100708
-1,17.07050705,31.72835922,-139.4127808
-0.9,18.12632751,33.93983078,-154.7303009
-0.8,19.00439262,35.46003342,-169.1017761
-0.7,19.71991158,36.45021057,-182.0079498
-0.6,20.34272766,37.21256256,-193.855484
-0.5,20.95717812,38.03778839,-205.6266632
-0.4,21.61815453,39.06723404,-218.2656097
-0.3,22.3247776,40.2358017,-232.1100616
-0.2,23.02440643,41.32274246,-246.6632843
-0.1,23.64458084,42.08425522,-260.8313599
0,24.13629913,42.40057755,-273.5117188
0.1,24.50633621,42.36286163,-284.2326965
0.2,24.82209206,42.25636673,-293.5264282
0.3,25.18519592,42.44293594,-302.7822876
0.4,25.68723106,43.20163727,-313.6643677
0.5,26.36959839,44.60668182,-327.3848572
0.6,27.20709038,46.50123596,-344.1831055
0.7,28.12303734,48.57917786,-363.273407
0.8,29.02806473,50.53340149,-383.288269
0.9,29.86284065,52.197258,-402.9896851
1,30.62379265,53.61098099,-421.8870544
1.1,31.35994911,54.98409653,-440.4528198
1.2,32.14390182,56.57717133,-459.8392334
1.3,33.03261185,58.56475067,-481.2571716
1.4,34.03796387,60.94732285,-505.34375
1.5,35.12092972,63.55187607,-531.8371582
1.6,36.21046066,66.11444092,-559.7045288
1.7,37.23590088,68.3983078,-587.630188
1.8,38.15602875,70.2881546,-614.5953369
1.9,38.97101974,71.81770325,-640.2557373
2,39.71359634,73.12550354,-664.9528198
2.1,40.4262085,74.36862183,-689.3933716
2.2,41.13698578,75.64051819,-714.1945801
2.3,41.84579086,76.92971039,-739.5292969
2.4,42.52477264,78.12998962,-765.0166626
2.5,43.12985992,79.08583832,-789.8549194
2.6,43.61522293,79.64376068,-813.0735474
2.7,43.94351959,79.6858902,-833.7579346
2.8,44.08946228,79.13922119,-851.1646118
2.9,44.03892517,77.97007751,-864.7409668
3,43.78746414,76.17776489,-874.1194458
3.1,43.3403244,73.79386139,-879.1353149
3.2,42.71227264,70.88114166,-879.8475342
3.3,41.92399597,67.5210495,-876.4927368
3.4,40.99355316,63.78535461,-869.3191528
3.5,39.9262619,59.70392227,-858.3477783
